SMILES,Activity
C1CN(CCC1CCN)C(=O)[C@H](CC2=CC(=CC=C2)C(=N)N)NS(=O)(=O)C3=CC=CC(=C3)NC(=O)CCN,8.0
COC(=O)C1CCN(CC1)C(=O)[C@H](CC2=CC(=CC=C2)C(=N)N)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3,180.0
C1CCN(CC1)C(=O)[C@H](CC2=CC(=CC=C2)C(=N)N)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3,730.0
C1CN(CCC1C(=O)O)C(=O)[C@H](CC2=CC(=CC=C2)C(=N)N)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3,20000.0
C[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC1=CC=CC=C1)NCC2=CC=C(C=C2)C(=N)N,18.0
C1=CC=C(C=C1)CS(=O)(=O)N[C@H](CCCN=C(N)N)C(=O)[C@H](CCCN=C(N)N)NCC2=CC=C(C=C2)C(=N)N,25.0
C1=CC=C(C=C1)COC(=O)NCCCC[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC2=CC=CC=C2)NCC3=CC=C(C=C3)C(=N)N,50.0
CCC(C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC1=CC=CC=C1)NCC2=CC=C(C=C2)C(=N)N,52.0
CCC[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC1=CC=CC=C1)NCC2=CC=C(C=C2)C(=N)N,68.0
C1=CC=C(C=C1)CS(=O)(=O)N[C@H](CCCN=C(N)N)C(=O)NCC(=O)NCC2=CC=C(C=C2)C(=N)N,68.0
C1=CC=C(C=C1)CS(=O)(=O)N[C@H](CCCN=C(N)N)C(=O)[C@H](CO)NCC2=CC=C(C=C2)C(=N)N,143.0
C1=CC=C(C=C1)C[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC2=CC=CC=C2)NCC3=CC=C(C=C3)C(=N)N,210.0
CC(C)C[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC1=CC=CC=C1)NCC2=CC=C(C=C2)C(=N)N,272.0
CC(C)[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC1=CC=CC=C1)NCC2=CC=C(C=C2)C(=N)N,409.0
CC(C)(C)OC(=O)C[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC1=CC=CC=C1)NCC2=CC=C(C=C2)C(=N)N,738.0
CC[C@H](C)[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC1=CC=CC=C1)NCC2=CC=C(C=C2)C(=N)N,499.0
C1=CC=C(C=C1)CS(=O)(=O)N[C@H](CCCN=C(N)N)C(=O)[C@H](CC(=O)O)NCC2=CC=C(C=C2)C(=N)N,10000.0
C1C[C@H](N(C1)C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N,19.0
CC(C)(C)OC(=O)C[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3,19.0
C1C[C@H](N(C1)C(=O)[C@@H](CCCCN)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N,20.0
C1C[C@H](N(C1)C(=O)[C@@H](CCCCN=C(N)N)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N,21.0
C1C[C@H](N(C1)C(=O)[C@@H](CCC2=CC=CC=C2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N,50.0
C1C[C@H](N(C1)C(=O)[C@@H](CC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N,123.0
C1C[C@H](N(C1)C(=O)[C@@H](CC2=CC=CC=C2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N,160.0
C1C[C@H](N(C1)C(=O)[C@@H](CCCCNC(=O)OCC2=CC=CC=C2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N,184.0
CC(C)(C)OC(=O)CC[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3,230.0
CC(C)[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3,322.0
C1CCC(CC1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N)NS(=O)(=O)CC4=CC=CC=C4,335.0
CC(C)C[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3,393.0
C1C[C@H](N(C1)C(=O)[C@@H](CC2=CC=C(C=C2)C#N)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N,706.0
C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)O)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N,7344.0
C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)N2CCNCC2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N,45.0
C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)N2CCOCC2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N,101.0
CC1=CC(=C(C=C1)C)N2CCN(CC2)C(=O)C[C@H](C(=O)N3CCC[C@H]3C(=O)NCC4=CC=C(C=C4)C(=N)N)NS(=O)(=O)CC5=CC=CC=C5,111.0
CC(C)N1CCN(CC1)C(=O)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N)NS(=O)(=O)CC4=CC=CC=C4,244.0
CN(C)CCCN1CCN(CC1)C(=O)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N)NS(=O)(=O)CC4=CC=CC=C4,248.0
C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)N2CCN(CC2)CC3=CC=CC=C3)NS(=O)(=O)CC4=CC=CC=C4)C(=O)NCC5=CC=C(C=C5)C(=N)N,363.0
