baid,activity,aid,sid,mid,cid,geneid,taxid,pmid,aidtype,aidmdate,hasdrc,rnai,protacxn,acname,acvalue,aidsrcname,aidname,cmpdname,targetname,targeturl,dois,ecs,repacxn
97813720,Active,95037,103166695,0,3660962,3818,9606,,Confirmatory,20180908,0,0,P03952,IC50,7.2,ChEMBL,In vitro concentration of compound required to inhibit 50% of Kallikrein,NULL,Plasma kallikrein (human),/gene/3818,NULL,3.4.21.34,P03952
97813737,Active,95041,103331346,0,11350400,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,0.849,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813738,Active,95041,103331423,0,10432907,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,3.33,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813739,Active,95041,103332114,0,11244460,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,2.43,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813740,Active,95041,103332407,0,11473486,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,1.37,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813741,Active,95041,103331390,0,11188793,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,1.35,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813742,Active,95041,103331690,0,11361949,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,0.4,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813743,Active,95041,103331913,0,11292119,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,0.23,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813744,Active,95041,103331915,0,447735,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,0.436,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813745,Active,95041,103331972,0,11149953,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,8,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813746,Active,95041,103332106,0,447733,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,7.17,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813747,Active,95041,103332115,0,11347670,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,18.1,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813748,Active,95041,103332474,0,447734,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,2.72,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813749,Active,95041,103331424,0,11774107,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,4.3,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
97813750,Active,95041,103322244,0,447732,3818,9606,14711304,Confirmatory,20181017,0,0,P03952,Ki,2.5,ChEMBL,Binding affinity against human plasma kallikrein.,NULL,Plasma kallikrein (human),/gene/3818,10.1021/jm0300072,3.4.21.34,P03952
