baid,activity,aid,sid,mid,cid,geneid,taxid,pmid,aidtype,aidmdate,hasdrc,rnai,protacxn,acname,acvalue,aidsrcname,aidname,cmpdname,targetname,targeturl,dois,ecs,repacxn
97896828,Active,108586,103542446,0,44436348,6768,9606,11549459,Confirmatory,20180929,0,0,Q9Y5Y6,Ki,0.00092,ChEMBL,Compound was tested for inhibition of Matriptase from human breast cancer cells,NULL,Suppressor of tumorigenicity 14 protein (human),/gene/6768,10.1016/s0960-894x(01)00493-0,3.4.21.109,Q9Y5Y6
97896842,Active,108587,103199096,0,11974,6768,9606,11311057,Confirmatory,20181017,0,0,Q9Y5Y6,Ki,0.535,ChEMBL,compound was tested for inhibitory activity against Matriptase,NULL,Suppressor of tumorigenicity 14 protein (human),/gene/6768,10.1021/jm000395x,3.4.21.109,Q9Y5Y6
97896843,Active,108587,103198273,0,432298,6768,9606,11311057,Confirmatory,20181017,0,0,Q9Y5Y6,Ki,0.208,ChEMBL,compound was tested for inhibitory activity against Matriptase,NULL,Suppressor of tumorigenicity 14 protein (human),/gene/6768,10.1021/jm000395x,3.4.21.109,Q9Y5Y6
97896845,Active,108587,103198236,0,411406,6768,9606,11311057,Confirmatory,20181017,0,0,Q9Y5Y6,Ki,0.191,ChEMBL,compound was tested for inhibitory activity against Matriptase,NULL,Suppressor of tumorigenicity 14 protein (human),/gene/6768,10.1021/jm000395x,3.4.21.109,Q9Y5Y6
97896846,Active,108587,103198237,0,135435498,6768,9606,11311057,Confirmatory,20181017,0,0,Q9Y5Y6,Ki,4.5,ChEMBL,compound was tested for inhibitory activity against Matriptase,NULL,Suppressor of tumorigenicity 14 protein (human),/gene/6768,10.1021/jm000395x,3.4.21.109,Q9Y5Y6
97896847,Active,108587,103167313,0,4735,6768,9606,11311057,Confirmatory,20181017,0,0,Q9Y5Y6,Ki,1.16,ChEMBL,compound was tested for inhibitory activity against Matriptase,NULL,Suppressor of tumorigenicity 14 protein (human),/gene/6768,10.1021/jm000395x,3.4.21.109,Q9Y5Y6
97896848,Active,108587,103190118,0,65130,6768,9606,11311057,Confirmatory,20181017,0,0,Q9Y5Y6,Ki,0.924,ChEMBL,compound was tested for inhibitory activity against Matriptase,NULL,Suppressor of tumorigenicity 14 protein (human),/gene/6768,10.1021/jm000395x,3.4.21.109,Q9Y5Y6
98977802,Active,267980,103493121,0,126363,6768,9606,16821772,Confirmatory,20181020,0,0,Q9Y5Y6,Ki,14,ChEMBL,Inhibition of matriptase,NULL,Suppressor of tumorigenicity 14 protein (human),/gene/6768,10.1021/jm051272l,3.4.21.109,Q9Y5Y6
98977803,Active,267980,103326834,0,9895193,6768,9606,16821772,Confirmatory,20181020,0,0,Q9Y5Y6,Ki,0.32,ChEMBL,Inhibition of matriptase,NULL,Suppressor of tumorigenicity 14 protein (human),/gene/6768,10.1021/jm051272l,3.4.21.109,Q9Y5Y6
98977804,Active,267980,103492331,0,11578158,6768,9606,16821772,Confirmatory,20181020,0,0,Q9Y5Y6,Ki,0.089,ChEMBL,Inhibition of matriptase,NULL,Suppressor of tumorigenicity 14 protein (human),/gene/6768,10.1021/jm051272l,3.4.21.109,Q9Y5Y6
