baid,activity,aid,sid,mid,cid,geneid,taxid,pmid,aidtype,aidmdate,hasdrc,rnai,protacxn,acname,acvalue,aidsrcname,aidname,cmpdname,targetname,targeturl,dois,ecs,repacxn
227251618,Active,499181,242084562,0,72429,164656,9606,20684597,Confirmatory,20180914,0,0,Q8IU80,Ki,4.1,ChEMBL,Inhibition of human purified matriptase 2 catalytic domain expressed in HEK293 cells after 20 mins,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm100183e,3.4.21.-,Q8IU80
227251622,Active,499181,104241273,0,46899735,164656,9606,20684597,Confirmatory,20180914,0,0,Q8IU80,Ki,0.46,ChEMBL,Inhibition of human purified matriptase 2 catalytic domain expressed in HEK293 cells after 20 mins,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm100183e,3.4.21.-,Q8IU80
227251623,Active,499181,104241271,0,49864062,164656,9606,20684597,Confirmatory,20180914,0,0,Q8IU80,Ki,0.17,ChEMBL,Inhibition of human purified matriptase 2 catalytic domain expressed in HEK293 cells after 20 mins,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm100183e,3.4.21.-,Q8IU80
227251638,Active,499180,104241271,0,49864062,164656,9606,20684597,Confirmatory,20180914,0,0,Q8IU80,Ki,0.19,ChEMBL,Inhibition of human recombinant matriptase 2 expressed in HEK293 cells in conditioned medium after 20 mins,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm100183e,3.4.21.-,Q8IU80
227251641,Active,499180,104241273,0,46899735,164656,9606,20684597,Confirmatory,20180914,0,0,Q8IU80,Ki,0.29,ChEMBL,Inhibition of human recombinant matriptase 2 expressed in HEK293 cells in conditioned medium after 20 mins,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm100183e,3.4.21.-,Q8IU80
227251642,Active,499180,242084562,0,72429,164656,9606,20684597,Confirmatory,20180914,0,0,Q8IU80,Ki,2.4,ChEMBL,Inhibition of human recombinant matriptase 2 expressed in HEK293 cells in conditioned medium after 20 mins,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm100183e,3.4.21.-,Q8IU80
286365631,Active,610100,134460981,0,46899577,164656,9606,21741839,Confirmatory,20180919,0,0,Q8IU80,Ki,0.17,ChEMBL,Inhibition of matriptase 2,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmcl.2011.06.033,3.4.21.-,Q8IU80
420757751,Active,682985,160686565,0,70689167,164656,9606,24900505,Confirmatory,20180922,0,0,Q8IU80,Ki,0.0033,ChEMBL,Tight binding inhibition of human matriptase2 expressed in Drosophila melanogaster S2 cells using Boc-QAR-AMC as substrate incubated for 15 mins prior to substrate addition measured for 30 mins by fluorimetric analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/ml3000534,3.4.21.-,Q8IU80
424694331,Active,696192,163334296,0,71460447,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,8.9,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694339,Active,696192,163330781,0,71458616,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,7.6,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694343,Active,696192,163337700,0,71462144,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,16.3,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694352,Active,696192,163323847,0,71454977,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,25.3,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694353,Active,696192,163323854,0,71454982,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,22,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694355,Active,696192,163320457,0,71453253,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,24,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694364,Active,696192,163316983,0,71451437,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,19,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694365,Active,696192,163316984,0,71451439,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,27,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
