ds_name,assay_id,doi,,,Gives Ki,IC50,Ki,Ki Location,Km Citation,Misc. Notes
ST14,632435,DOI: 10.1021/jm200920s,,,FALSE,INSUFFICIENT INFO IN PAPER,,,,
ST14,762639,DOI: 10.1016/j.bmcl.2013.06.039,,,FALSE,INSUFFICIENT INFO IN PAPER,,,,
ST14,1060013,DOI: 10.1016/j.ejmech.2013.10.040,,,TRUE,,,Table 2,,
KLKB1,95037,DOI: 10.1016/S0960-894X(00)80611-3,,,FALSE,1,0.55,,https://books.google.com/books?id=QJ3yCAAAQBAJ&pg=PA118&lpg=PA118&dq=kallikrein+Bz-Phe-Val-Arg-p-nitroanilide+km&source=bl&ots=eelzFbghYL&sig=ACfU3U2_T7_gEJaTrnFsS20U1cL9Z68f3w&hl=en&sa=X&ved=2ahUKEwihs7ve5-PpAhUXHDQIHU3EACIQ6AEwAHoECAoQAQ#v=onepage&q=kallikrein%20Bz-Phe-Val-Arg-p-nitroanilide%20km&f=false,
KLKB1,95038,DOI: 10.1016/S0960-894X(00)80611-3,,,FALSE,COMPOUND DOES NOT MATCH CITED PAPER,,,,
KLKB1,95170,DOI: 10.1021/jm00060a016,,,FALSE,1,0.939849624,,https://europepmc.org/article/med/8736125,
KLKB1,95172,DOI: 10.1016/j.bmcl.2003.11.080,,,FALSE,INSUFFICIENT INFO IN PAPER,,,,
KLKB1,274845,DOI: 10.1021/jm060978s,,,FALSE,INSUFFICIENT INFO IN PAPER,,,,
KLKB1,298251,DOI: 10.1021/jm070600+,,,FALSE,1,0.827586207,,https://pdf.sciencedirectassets.com/272363/1-s2.0-S0003269700X05118/1-s2.0-000326979190558B/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEBwaCXVzLWVhc3QtMSJIMEYCIQDecx2sMnlFv4A8t%2Byiaxem5hEbkNXzjmxyB%2Bms5AdPGwIhAM8%2FjI7QrTGcqs24hiO7GIBEhaI68Giv3XGKEADEHO41Kr0DCIX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQAxoMMDU5MDAzNTQ2ODY1Igx5lLnrRAb33%2B5nKl0qkQMQ6gbsmjvcNDdcNMpTB3bCJIitm2rpWb1daX1C4xtTJ90m7OiKYajfAaicxOT0kqgRLhByPoVwEOBgyCH6ebBx09o2Ul9COhBRtXClbjQR7DO3RqTd%2FGLn8KMvRYnHHKQTFAkVrNXsnuWUihq08QBVJAqnPrBq1HYntOdpoCiMqA6FvpF6p1ba7TKT3deHPHv5ViqvU5m%2BuGN%2BIbLu0yhZmWoZAm6eKTlbBoP65Tb2Sqy%2Fh6%2Bk5DII1tof9MIncmDz6jkZbTPl7%2FJkGNzLxyz2eRkJHiXKZpGeR7HbUse2v80b5WqUcoNxV3EWn4%2B%2B%2BFyRoV8pgNC%2FdA6jRBxw0yL8u6M7ZRCXMaqILGV7Rc8jA5YCkzQTc4qe3F2vzIeG76gEmmwZylERiMZregCcMWxJo0i2DapVyN2VylfIhNURTR%2BPhevuCBZ1%2FROo%2FvNJF9KwZVX3g3l32Bk7QgPeL045bWyGFl3u3ADxwTi9WyY6yHkN%2FZhDTeV1N5QeSEOzmbr%2FbochPWF%2FX5W8gkVCR3D13TD64uH2BTrqAUv0GPzBcErvH7SiO3Mx5kkWltZ%2B%2FHqbFfhywkZsW7twKkwXG46EdlbkAhPCd%2FXYxHIpR7%2Be8d549VSDIaoqtYHCRaXDjeruufsjP53uQ%2BVr7F5c2P4Sq4tJmgNWKqYI%2By5aPyOzm5baEVR6tQZhai6fVn5zUHbMxXO7x3dsysZFt7ib0J0J1d8fO0ivmQktr%2FEZvf1eMXFvMDa3jg9OZRbsaJJrpQzmokXRHa35wyp%2F0L9iqDUEFzaIgMqy944j4cxCPXhcvKreovSUEv8IYO%2F%2BA96W6VUC2iPqR%2Bce%2Ft2EClkef%2FBk7V2l8g%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20200604T044832Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYYCFFZ66S%2F20200604%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=f44f6bc29bfe1f51485989d8d26111568831877b71b5e0d1714d30c0aabe9948&hash=c84c8d3ce199ad8a8b23f3fdcd09609351da34a86eb620d425e7c3b698f9ae94&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=000326979190558B&tid=spdf-19726cbd-ccfd-4232-aec1-5811e02c0bfe&sid=9c740d631dbb6649b369a2a-303987d7517agxrqa&type=client,Rough estimate/not exact substrate
KLKB1,307344,DOI: 10.1016/j.bmcl.2007.03.080,,,FALSE,INSUFFICIENT INFO IN PAPER,,,,
