acvalue_target,activity_target,target,tmprss2_vs_target_spearman_r,acvalue_scaled_to_tmprss2,cid,smiles
0.019,Active,TMPRSS2,1.0,0.019,46899577,C1C[C@H](N(C1)C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N
0.019,Active,TMPRSS2,1.0,0.019,56677005,CC(C)(C)OC(=O)C[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3
0.02,Active,TMPRSS2,1.0,0.02,49835415,C1C[C@H](N(C1)C(=O)[C@@H](CCCCN)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N
0.021,Active,TMPRSS2,1.0,0.021,49835557,C1C[C@H](N(C1)C(=O)[C@@H](CCCCN=C(N)N)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N
0.044000000000000004,Active,TMPRSS2,1.0,0.044000000000000004,0,N=C(C1=CC=C(C=C1)CNC([C@@H]2CCCN2C([C@H](CCC3=CC=CC=N3)NS(=O)(CC4=CC=CC=C4)=O)=O)=O)N
0.05,Active,TMPRSS2,1.0,0.05,49835508,C1C[C@H](N(C1)C(=O)[C@@H](CCC2=CC=CC=C2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
0.12300000000000001,Active,TMPRSS2,1.0,0.12300000000000001,49835606,C1C[C@H](N(C1)C(=O)[C@@H](CC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
0.16,Active,TMPRSS2,1.0,0.16,49835507,C1C[C@H](N(C1)C(=O)[C@@H](CC2=CC=CC=C2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
0.184,Active,TMPRSS2,1.0,0.184,49835556,C1C[C@H](N(C1)C(=O)[C@@H](CCCCNC(=O)OCC2=CC=CC=C2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
0.23,Active,TMPRSS2,1.0,0.23,56670171,CC(C)(C)OC(=O)CC[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3
0.322,Active,TMPRSS2,1.0,0.322,56673691,CC(C)[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3
0.335,Active,TMPRSS2,1.0,0.335,46899736,C1CCC(CC1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N)NS(=O)(=O)CC4=CC=CC=C4
0.39299999999999996,Active,TMPRSS2,1.0,0.39299999999999996,56673692,CC(C)C[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3
0.706,Active,TMPRSS2,1.0,0.706,49835559,C1C[C@H](N(C1)C(=O)[C@@H](CC2=CC=C(C=C2)C#N)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
1.633,Active,TMPRSS2,1.0,1.633,0,N=C(N)C1=CC=C(CNC([C@@H]2CCCN2C(CNS(=O)(CC3=CC=CC=C3)=O)=O)=O)C=C1
1.6369999999999998,Active,TMPRSS2,1.0,1.6369999999999998,0,N=C(N)C1=CC=C(CNC([C@@H]2CCCN2C([C@@H](C)NS(=O)(CC3=CC=CC=C3)=O)=O)=O)C=C1
7.343999999999999,Active,TMPRSS2,1.0,7.343999999999999,56673693,C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)O)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N
0.018000000000000002,Active,TMPRSS2,1.0,0.018000000000000002,0,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)C)=O)CCCNC(N)=N)=O
0.025,Active,TMPRSS2,1.0,0.025,0,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CCCNC(N)=N)=O)CCCNC(N)=N)=O
0.05,Active,TMPRSS2,1.0,0.05,0,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CCCCNC(OCC3=CC=CC=C3)=O)=O)CCCNC(N)=N)=O
0.052000000000000005,Active,TMPRSS2,1.0,0.052000000000000005,0,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CC)=O)CCCNC(N)=N)=O
0.068,Active,TMPRSS2,1.0,0.068,0,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CCC)=O)CCCNC(N)=N)=O
0.068,Active,TMPRSS2,1.0,0.068,0,O=S(CC1=CC=CC=C1)(N[C@H](CCCNC(N)=N)C(NCC(NCC2=CC=C(C(N)=N)C=C2)=O)=O)=O
0.14300000000000002,Active,TMPRSS2,1.0,0.14300000000000002,0,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CO)=O)CCCNC(N)=N)=O
0.21,Active,TMPRSS2,1.0,0.21,0,O=S(CC1=CC=CC=C1)(N[C@H](CCCNC(N)=N)C(N[C@@H](CC2=CC=CC=C2)C(NCC3=CC=C(C(N)=N)C=C3)=O)=O)=O
0.272,Active,TMPRSS2,1.0,0.272,0,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CC(C)C)=O)CCCNC(N)=N)=O
0.409,Active,TMPRSS2,1.0,0.409,0,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)C(C)C)=O)CCCNC(N)=N)=O
0.738,Active,TMPRSS2,1.0,0.738,0,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CC(OC(C)(C)C)=O)=O)CCCNC(N)=N)=O
0.499,Active,TMPRSS2,1.0,0.499,0,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)[C@H](CC)C)=O)CCCNC(N)=N)=O
10.0,Active,TMPRSS2,1.0,10.0,0,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CC(O)=O)=O)CCCNC(N)=N)=O
0.045,Active,TMPRSS2,1.0,0.045,56683659,C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)N2CCNCC2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
0.10099999999999999,Active,TMPRSS2,1.0,0.10099999999999999,56683658,C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)N2CCOCC2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
0.111,Active,TMPRSS2,1.0,0.111,56666743,CC1=CC(=C(C=C1)C)N2CCN(CC2)C(=O)C[C@H](C(=O)N3CCC[C@H]3C(=O)NCC4=CC=C(C=C4)C(=N)N)NS(=O)(=O)CC5=CC=CC=C5
0.244,Active,TMPRSS2,1.0,0.244,56663318,CC(C)N1CCN(CC1)C(=O)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N)NS(=O)(=O)CC4=CC=CC=C4
0.248,Active,TMPRSS2,1.0,0.248,56659849,CN(C)CCCN1CCN(CC1)C(=O)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N)NS(=O)(=O)CC4=CC=CC=C4
0.363,Active,TMPRSS2,1.0,0.363,56663317,C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)N2CCN(CC2)CC3=CC=CC=C3)NS(=O)(=O)CC4=CC=CC=C4)C(=O)NCC5=CC=C(C=C5)C(=N)N
0.41700000000000004,Active,TMPRSS2,1.0,0.41700000000000004,56666744,C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)N2CCN(CC2)CCO)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
0.6,Active,TMPRSS2,1.0,0.6,56677006,C1C[C@H](N(C1)C(=O)[C@@H](CCC(=O)N2CCNCC2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
0.624,Active,TMPRSS2,1.0,0.624,56659848,C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)N2CCN(CC2)C(=O)OCC3=CC=CC=C3)NS(=O)(=O)CC4=CC=CC=C4)C(=O)NCC5=CC=C(C=C5)C(=N)N
0.821,Active,TMPRSS2,1.0,0.821,53379392,C1C[C@H](N(C1)C(=O)[C@@H](CCC(=O)N2CCN(CC2)C3=NC=CC=N3)NS(=O)(=O)CC4=CC=CC=C4)C(=O)NCC5=CC=C(C=C5)C(=N)N
0.838,Active,TMPRSS2,1.0,0.838,56683657,C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)N2CCN(CC2)C3=NC=CC=N3)NS(=O)(=O)CC4=CC=CC=C4)C(=O)NCC5=CC=C(C=C5)C(=N)N
1.222,Active,TMPRSS2,1.0,1.222,56680339,C1C[C@H](N(C1)C(=O)[C@@H](CCC(=O)N2CCN(CC2)C(=O)OCC3=CC=CC=C3)NS(=O)(=O)CC4=CC=CC=C4)C(=O)NCC5=CC=C(C=C5)C(=N)N
0.02,Active,TMPRSS2,1.0,0.02,0,NC(C1=CC=C(CNC([C@H](C)NC([C@H](N)CCC2=CC=C(C=C2)O)=O)=O)C=C1)=N
0.09,Active,TMPRSS2,1.0,0.09,0,NC(C1=CC=C(CNC([C@H](C)NC([C@H](N)CCC2=CC=CC=C2)=O)=O)C=C1)=N
0.18,Active,TMPRSS2,1.0,0.18,0,NC(C1=CC=C(CNC([C@@H]2CCCN2C([C@H](N)CCC3=CC=CC=C3)=O)=O)C=C1)=N
