Name,SMILES,INCHIKEY,Phase
CU-2010,c1ccc(cc1)CCC[C@H](C(=O)N[C@@H](Cc2cccc(c2)CN)C(=O)NCc3ccc(cc3)C(=N)N)NS(=O)(=O)Cc4cccc(c4)C(=O)O,BHQDUYVBGREBCB-SAIUNTKASA-N,2
Sepimostat mesilate,[H]/N=C(/C1=CC=C2C=C(C=CC2=C1)OC(=O)C3=CC=C(C=C3)NC4=NCCN4)\N,QMRJOIUGPCVZPH-UHFFFAOYSA-N,3
Gabexate,CCOC(=O)c1ccc(OC(=O)CCCCCNC(N)=N)cc1,YKGYIDJEEQRWQH-UHFFFAOYSA-O,4
Camostat,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N,XASIMHXSUQUHLV-UHFFFAOYSA-N,4
GS-9256,CC(C)NC1=NC(=CS1)C2=NC3=C(C=CC(=C3Cl)OC)C(=C2)O[C@@H]4C[C@H]5C(=O)N[C@@]6(C[C@H]6CCCCCCC[C@@H](C(=O)N5C4)NC(=O)OC7CCCC7)P(=O)(CC8=C(C=CC=C8F)F)O,RFGUWOCFYCYEDM-ZOMNBDOOSA-N,2
probucol,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)SC(C)(C)SC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,FYPMFJGVHOHGLL-UHFFFAOYSA-N,4
Sovaprevir,CC(C)(C)[C@H](CC(=O)N1CCCCC1)C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)OC5=CC(=NC6=C5C=CC(=C6)OC)C7=CC=CC=C7,MHFMTUBUVQZIRE-WINRQGAFSA-N,2
Deldeprevir,CC1=C(C=CC2=C1N=C(C=C2O[C@@H]3C[C@H]4C(=O)N[C@@]5(C[C@H]5/C=C\CCCCC[C@@H](C(=O)N4C3)CC(=O)N6CCCC(C6)(F)F)C(=O)NS(=O)(=O)C7CC7)C8=NC(=CS8)C(C)C)OC,UDMJANYPQWEDFT-ZAWFUYGJSA-N,1
BMS-605339,CC(C)(C)[C@@H](C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@]2(C[C@H]2C=C)C(=O)NS(=O)(=O)C3CC3)OC4=NC=CC5=C4C=CC(=C5)OC)NC(=O)OC(C)(C)C,IYWRCNFZPNEADN-CXODAYGWSA-N,1
Voxilaprevir,CC[C@@H]1[C@@H]2CN([C@@H]1C(=O)N[C@@]3(C[C@H]3C(F)F)C(=O)NS(=O)(=O)C4(CC4)C)C(=O)[C@@H](NC(=O)O[C@@H]5C[C@H]5CCCCC(C6=NC7=C(C=C(C=C7)OC)N=C6O2)(F)F)C(C)(C)C,MZBLZLWXUBZHSL-FZNJKFJKSA-N,2
Ciluprevir,CC(C)NC1=NC(=CS1)C2=NC3=C(C=CC(=C3)OC)C(=C2)O[C@@H]4C[C@H]5C(=O)N[C@@]6(C[C@H]6/C=C\CCCCC[C@@H](C(=O)N5C4)NC(=O)OC7CCCC7)C(=O)O,PJZPDFUUXKKDNB-KNINVFKUSA-N,2
