cid,acvalue,activity,smiles,rdkit_fingerprint
11974,0.535,Active,C1=CC(=C(C=C1C(=N)N)Br)OCCCOC2=C(C=C(C=C2)C(=N)N)Br,[1 0 0 ... 0 0 1]
432298,0.20400000000000001,Active,C1=CC(=CC=C1C(=N)N)OC2=CC=C(C=C2)OC3=CC=C(C=C3)C(=N)N,[1 0 0 ... 0 0 1]
411406,0.191,Active,C1=CC(=CC=C1C(=N)N)OCCCCCCOC2=C(C=C(C=C2)C(=N)N)I,[1 0 0 ... 0 0 1]
135435498,4.5,Active,C1=CC(=CC=C1C(=N)N)N=NC2=C(C=CC3=CC4=C(C=CC(=C4N=NC5=CC=C(C=C5)C(=N)N)O)C=C32)O,[1 0 0 ... 1 0 1]
4735,1.16,Active,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,[1 0 0 ... 0 0 1]
65130,0.924,Active,C1=CC(=CC=C1C(=N)N)OCCCCCCOC2=CC=C(C=C2)C(=N)N,[1 0 0 ... 0 0 1]
126363,14.0,Active,CC1=CC=C(C=C1)S(=O)(=O)NC(CC2=CC(=CC=C2)C(=N)N)C(=O)N3CCCCC3,[1 1 1 ... 0 0 1]
9895193,0.32,Active,CCOC(=O)N1CCN(CC1)C(=O)[C@H](CC2=CC(=CC=C2)C(=N)N)NS(=O)(=O)C3=C(C=C(C=C3C(C)C)C(C)C)C(C)C,[1 1 1 ... 0 1 1]
11578158,0.08900000000000001,Active,CC(C)C1=CC(=C(C(=C1)C(C)C)S(=O)(=O)N[C@@H](CC2=CC(=CC=C2)C(=N)N)C(=O)N3CCC(CC3)CCN=C(N)N)C(C)C,[1 1 1 ... 0 0 1]
11570580,0.08800000000000001,Active,C1CCC(CC1)C2=CC=C(C=C2)S(=O)(=O)N[C@@H](CC3=CC(=CC=C3)C(=N)N)C(=O)N4CCC(CC4)CCN=C(N)N,[1 1 1 ... 0 0 1]
11664107,0.042,Active,C1CN(CCC1CCCN=C(N)N)C(=O)[C@H](CC2=CC(=CC=C2)C(=N)N)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3,[1 1 1 ... 0 0 1]
