cid,acvalue,activity,smiles,rdkit_fingerprint
449051,0.078,Active,C1=CC=C(C=C1)CS(=O)(=O)N[C@H](CO)C(=O)N[C@@H](CO)C(=O)NCC2=CC=C(C=C2)C(=N)N,[1 1 1 ... 0 1 1]
49835415,0.04,Active,C1C[C@H](N(C1)C(=O)[C@@H](CCCCN)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N,[1 1 1 ... 0 1 1]
56666743,0.073,Active,CC1=CC(=C(C=C1)C)N2CCN(CC2)C(=O)C[C@H](C(=O)N3CCC[C@H]3C(=O)NCC4=CC=C(C=C4)C(=N)N)NS(=O)(=O)CC5=CC=CC=C5,[1 1 1 ... 0 1 1]
56677008,0.023,Active,CC[C@H](C)[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC1=CC=CC=C1)NCC2=CC=C(C=C2)C(=N)N,[1 0 1 ... 1 0 1]
56666744,0.21,Active,C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)N2CCN(CC2)CCO)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N,[1 1 1 ... 0 1 1]
56666745,0.034,Active,C1=CC=C(C=C1)COC(=O)NCCCC[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC2=CC=CC=C2)NCC3=CC=C(C=C3)C(=N)N,[1 0 1 ... 1 0 1]
56666746,0.047,Active,CC(C)C[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC1=CC=CC=C1)NCC2=CC=C(C=C2)C(=N)N,[1 0 1 ... 1 0 1]
56673693,1.425,Active,C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)O)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N,[1 1 1 ... 0 1 1]
56673694,0.022000000000000002,Active,CC(C)[C@@H](C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC1=CC=CC=C1)NCC2=CC=C(C=C2)C(=N)N,[1 0 1 ... 1 0 1]
56673695,0.034,Active,C1=CC=C(C=C1)CS(=O)(=O)N[C@H](CCCN=C(N)N)C(=O)[C@H](CO)NCC2=CC=C(C=C2)C(=N)N,[1 0 1 ... 1 0 1]
