cid,acvalue,activity,smiles
46899577,0.019,Active,C1C[C@H](N(C1)C(=O)[C@@H](CCCN=C(N)N)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N
56677005,0.019,Active,CC(C)(C)OC(=O)C[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3
49835415,0.02,Active,C1C[C@H](N(C1)C(=O)[C@@H](CCCCN)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N
49835557,0.021,Active,C1C[C@H](N(C1)C(=O)[C@@H](CCCCN=C(N)N)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N
0,0.044,Active,N=C(C1=CC=C(C=C1)CNC([C@@H]2CCCN2C([C@H](CCC3=CC=CC=N3)NS(=O)(CC4=CC=CC=C4)=O)=O)=O)N
49835508,0.05,Active,C1C[C@H](N(C1)C(=O)[C@@H](CCC2=CC=CC=C2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
49835606,0.123,Active,C1C[C@H](N(C1)C(=O)[C@@H](CC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
49835507,0.16,Active,C1C[C@H](N(C1)C(=O)[C@@H](CC2=CC=CC=C2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
49835556,0.184,Active,C1C[C@H](N(C1)C(=O)[C@@H](CCCCNC(=O)OCC2=CC=CC=C2)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
56670171,0.23,Active,CC(C)(C)OC(=O)CC[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3
56673691,0.322,Active,CC(C)[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3
46899736,0.335,Active,C1CCC(CC1)C[C@H](C(=O)N2CCC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N)NS(=O)(=O)CC4=CC=CC=C4
56673692,0.393,Active,CC(C)C[C@H](C(=O)N1CCC[C@H]1C(=O)NCC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3
49835559,0.706,Active,C1C[C@H](N(C1)C(=O)[C@@H](CC2=CC=C(C=C2)C#N)NS(=O)(=O)CC3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)C(=N)N
0,1.633,Active,N=C(N)C1=CC=C(CNC([C@@H]2CCCN2C(CNS(=O)(CC3=CC=CC=C3)=O)=O)=O)C=C1
0,1.637,Active,N=C(N)C1=CC=C(CNC([C@@H]2CCCN2C([C@@H](C)NS(=O)(CC3=CC=CC=C3)=O)=O)=O)C=C1
56673693,7.344,Active,C1C[C@H](N(C1)C(=O)[C@@H](CC(=O)O)NS(=O)(=O)CC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=N)N
0,0.018,Active,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)C)=O)CCCNC(N)=N)=O
0,0.025,Active,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CCCNC(N)=N)=O)CCCNC(N)=N)=O
0,0.05,Active,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CCCCNC(OCC3=CC=CC=C3)=O)=O)CCCNC(N)=N)=O
0,0.052,Active,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CC)=O)CCCNC(N)=N)=O
0,0.068,Active,O=S(CC1=CC=CC=C1)(N[C@@H](C(N[C@H](C(NCC2=CC=C(C=C2)C(N)=N)=O)CCC)=O)CCCNC(N)=N)=O
0,0.068,Active,O=S(CC1=CC=CC=C1)(N[C@H](CCCNC(N)=N)C(NCC(NCC2=CC=C(C(N)=N)C=C2)=O)=O)=O
