ds_name,assay_id,doi
ST14,267990,DOI: 10.1021/jm051272l
ST14,632435,DOI: 10.1021/jm200920s
ST14,762639,DOI: 10.1016/j.bmcl.2013.06.039
ST14,1060013,DOI: 10.1016/j.ejmech.2013.10.040
KLKB1,95037,DOI: 10.1016/S0960-894X(00)80611-3
KLKB1,95038,DOI: 10.1016/S0960-894X(00)80611-3
KLKB1,95170,DOI: 10.1021/jm00060a016
KLKB1,95172,DOI: 10.1016/j.bmcl.2003.11.080
KLKB1,269508,DOI: 10.1021/jm0605132
KLKB1,274845,DOI: 10.1021/jm060978s
KLKB1,298251,DOI: 10.1021/jm070600+
KLKB1,307344,DOI: 10.1016/j.bmcl.2007.03.080
KLKB1,321206,DOI: 10.1016/j.bmc.2007.11.015
KLKB1,404327,DOI: 10.1021/jm8002697
KLKB1,448904,DOI: 10.1021/jm9009394
KLKB1,479774,DOI: 10.1021/jm901699j
KLKB1,507741,DOI: 10.1038/nchembio.184
KLKB1,652664,DOI: 10.1016/j.bmcl.2012.02.014
KLKB1,652666,DOI: 10.1016/j.bmcl.2012.02.014
KLKB1,732084,DOI: 10.1021/jm3017305
KLKB1,762526,DOI: 10.1021/jm400742j
KLKB1,1265727,DOI: 10.1021/acs.jmedchem.5b01171
KLKB1,1288744,DOI: 10.1039/C5MD00479A
KLKB1,1337085,DOI: 10.1021/acsmedchemlett.6b00384
KLKB1,254779,DOI: 10.1021/jm050488k
KLKB1,626531,DOI: 10.1016/j.bmcl.2011.08.121
KLKB1,1129678,DOI: 10.1016/j.bmc.2014.02.002
TMPRSS6,696192,DOI: 10.1016/j.bmc.2012.08.042
