,source,name,pred_value,RMSE
10797,reframe,Nafamostat,-4.573851110578683,0.7509391213003528
19603,broad,substance-p,-3.2700263135470737,0.7509391213003528
10749,reframe,Camostat,-3.0636723290745285,0.7509391213003528
10877,broad,"[sar9,met(o2)11]-substance-p",-2.8788993146823394,0.7509391213003528
4725,drugbank,"Sar9, Met (O2)11-Substance P",-2.8788993146823394,0.7509391213003528
10789,reframe,RWJ-58643,-2.2315586592384182,0.7509391213003528
10747,reframe,Sepimostat mesilate,-2.1199491995863453,0.7509391213003528
2513,drugbank,RWJ-56423,-2.0516801529004405,0.7509391213003528
19919,broad,telaprevir,-2.0135272676941205,0.7509391213003528
19920,broad,telaprevir,-2.0135272676941205,0.7509391213003528
10791,reframe,Telaprevir,-2.0135272676941205,0.7509391213003528
4645,drugbank,Telaprevir,-2.0135272676941205,0.7509391213003528
10815,reframe,atecegatran,-1.9817522789926583,0.7509391213003528
2928,drugbank,RWJ-51084,-1.8878218525377377,0.7509391213003528
17038,broad,nafamostat,-1.86658564718644,0.7509391213003528
8697,drugbank,Nafamostat,-1.86658564718644,0.7509391213003528
17039,broad,nafamostat,-1.86658564718644,0.7509391213003528
17040,broad,nafamostat,-1.86658564718644,0.7509391213003528
20636,broad,vasopressin,-1.8457391480259115,0.7509391213003528
16384,broad,lypressin,-1.7572091464786035,0.7509391213003528
10762,reframe,SN-429,-1.7144010640680003,0.7509391213003528
6,drugbank,Vasopressin,-1.6800237465013663,0.7509391213003528
2276,drugbank,"6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",-1.6656070086521502,0.7509391213003528
2890,drugbank,Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone,-1.6205080541942352,0.7509391213003528
7108,drugbank,Boceprevir,-1.6083056023929387,0.7509391213003528
12457,broad,boceprevir,-1.6083056023929387,0.7509391213003528
12459,broad,boceprevir,-1.6083056023929387,0.7509391213003528
10798,reframe,boceprevir,-1.6083056023929387,0.7509391213003528
12458,broad,boceprevir,-1.6083056023929387,0.7509391213003528
531,drugbank,Gonadorelin,-1.5948837677179513,0.7509391213003528
11708,broad,antagonist-g,-1.5884320557364902,0.7509391213003528
1649,drugbank,Bis(5-Amidino-2-Benzimidazolyl)Methanone,-1.535451021212191,0.7509391213003528
4329,drugbank,2-[2-ETHANESULFONYLAMINO-3-(1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIM IDOYL-BENZYLAMIDE),-1.5157788124308127,0.7509391213003528
2028,drugbank,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,-1.4978476005503691,0.7509391213003528
9408,drugbank,Ornipressin,-1.4865897179527972,0.7509391213003528
9,drugbank,Felypressin,-1.4690637757662155,0.7509391213003528
3852,drugbank,CRA_23653,-1.4677721159452901,0.7509391213003528
10549,drugbank,Modimelanotide,-1.447966326813266,0.7509391213003528
15506,broad,icatibant-acetate,-1.413407438774167,0.7509391213003528
15504,broad,icatibant-acetate,-1.413407438774167,0.7509391213003528
4808,drugbank,Icatibant,-1.413407438774167,0.7509391213003528
15505,broad,icatibant-acetate,-1.413407438774167,0.7509391213003528
2706,drugbank,CRA_1801,-1.3969180565661463,0.7509391213003528
2204,drugbank,"6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",-1.3861579565184508,0.7509391213003528
15136,broad,goserelin-acetate,-1.3121821555079425,0.7509391213003528
4631,drugbank,CZEN 002,-1.2785823837656491,0.7509391213003528
1821,drugbank,CRA_16847,-1.2291647568201385,0.7509391213003528
3206,drugbank,CRA_11092,-1.2223924421338432,0.7509391213003528
4998,drugbank,Omiganan,-1.1832357199040793,0.7509391213003528
14256,broad,EG00229,-1.1580347960510502,0.7509391213003528
14255,broad,EG00229,-1.1580347960510502,0.7509391213003528
4337,drugbank,N-[1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-3-METHYLSULFANYL-PROPYL]-3-HYDROXY-2-PROPOXYAMINO-BUTYRAMID,-1.1546733254651689,0.7509391213003528
6101,drugbank,"5-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}-1H-1,2,4-TRIAZOLE-3-SULFONAMIDE",-1.1308751962532042,0.7509391213003528
16337,broad,LY255283,-1.1286576459782869,0.7509391213003528
16338,broad,LY255283,-1.1286576459782869,0.7509391213003528
10139,drugbank,Lypressin,-1.1103262740560789,0.7509391213003528
1674,drugbank,2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine,-1.096602338708045,0.7509391213003528
5013,drugbank,Otamixaban,-1.0955846945237122,0.7509391213003528
17634,broad,otamixaban,-1.0955846945237122,0.7509391213003528
